PS E:\课题研究> cd "e:\课题研究\" ; if ($?) { g++ -std=c++14 model_0_2.cpp -o model_0_2 } ; if ($?) { .\model_0_2 }
Point #N        Game    Score(A:B)      L_i             G_A             G_B             M_A             M_B
42              3       2:7             0.068400        0.000000        -0.068400       0.016684        -0.037690
43              3       3:7             0.041100        0.041100        0.000000        0.026858        -0.021389
44              3       3:8             0.066700        0.000000        -0.066700       0.017995        -0.037161
45              3       3:9             0.038000        0.000000        -0.038000       0.010429        -0.039395
46              3       3:10            0.015300        0.000000        -0.015300       0.004716        -0.032232
47              3       4:10            0.004100        0.004100        0.000000        0.004724        -0.018072
48              3       4:11            0.007900        0.000000        -0.007900       0.001048        -0.015122
49              4       1:0             0.151800        0.151800        0.000000        0.078877        -0.004252
50              4       1:1             0.175300        0.000000        -0.175300       0.048502        -0.084570
51              4       2:1             0.157700        0.157700        0.000000        0.098031        -0.051352
52              4       2:2             0.196000        0.000000        -0.196000       0.060961        -0.110865
53              4       2:3             0.166100        0.000000        -0.166100       0.038678        -0.133583
54              4       3:3             0.160700        0.160700        0.000000        0.079403        -0.089500
55              4       4:3             0.202300        0.202300        0.000000        0.130379        -0.050936
56              4       5:3             0.212500        0.212500        0.000000        0.160302        -0.034127
57              4       5:4             0.216600        0.000000        -0.216600       0.107402        -0.095404
58              4       5:5             0.243000        0.000000        -0.243000       0.071960        -0.148072
59              4       6:5             0.232000        0.232000        0.000000        0.128445        -0.099208
60              4       7:5             0.251700        0.251700        0.000000        0.171664        -0.066469
61              4       7:6             0.269700        0.000000        -0.269700       0.104069        -0.147427
62              4       7:7             0.294800        0.000000        -0.294800       0.069726        -0.200088
63              4       7:8             0.306100        0.000000        -0.306100       0.046717        -0.238322
64              4       7:9             0.262200        0.000000        -0.262200       0.019350        -0.259707
65              4       7:10            0.183700        0.000000        -0.183700       0.000000        -0.244087
66              4       7:11            0.079600        0.000000        -0.079600       0.000000        -0.180015
67              5       1:0             0.160500        0.160500        0.000000        0.082839        -0.071035
68              5       2:0             0.173800        0.173800        0.000000        0.133492        -0.028114
69              5       3:0             0.194000        0.194000        0.000000        0.165840        -0.009292
70              5       4:0             0.176900        0.176900        0.000000        0.174514        -0.002004
71              5       4:1             0.173700        0.000000        -0.173700       0.110723        -0.066268
72              5       4:2             0.184500        0.000000        -0.184500       0.065917        -0.114788
73              5       5:2             0.211000        0.211000        0.000000        0.115711        -0.076908
74              5       6:2             0.204500        0.204500        0.000000        0.145552        -0.051528
75              5       7:2             0.168200        0.168200        0.000000        0.152578        -0.034524
76              5       7:3             0.137200        0.000000        -0.137200       0.102227        -0.066527
77              5       8:3             0.171700        0.171700        0.000000        0.133997        -0.035070
78              5       9:3             0.115200        0.115200        0.000000        0.122860        -0.023497
79              5       9:4             0.061200        0.000000        -0.061200       0.071782        -0.039091
80              5       10:4            0.086700        0.086700        0.000000        0.072507        -0.026191
